ds,Summe produzierte Energie Regelblock Schweiz Total energy production Swiss controlblock - kWh,Vertikale Einspeisung ins Übertragungsnetz Schweiz Grid feed-in Swiss transmission grid - kWh,Produktion Kanton AG Production Canton AG - kWh,Produktion Kanton FR Production Canton FR - kWh,Produktion Kanton GL Production Canton GL - kWh,Produktion Kanton GR Production Canton GR - kWh,Produktion Kanton LU Production Canton LU - kWh,Produktion Kanton NE Production Canton NE - kWh,Produktion Kanton SO Production Canton SO - kWh,Produktion Kanton SG Production Canton SG - kWh,Produktion Kanton TI Production Canton TI - kWh,Produktion Kanton TG Production Canton TG - kWh,Produktion Kanton VS Production Canton VS - kWh,"Produktion Kantone AI, AR Production Cantons AI, AR - kWh","Produktion Kantone BL, BS Production Cantons BL, BS - kWh","Produktion Kantone BE, JU Production Cantons BE, JU - kWh","Produktion Kantone SZ, ZG Production Cantons SZ, ZG - kWh","Produktion Kantone OW, NW, UR Production Cantons OW, NW, UR - kWh","Produktion Kantone GE, VD Production Cantons GE, VD - kWh","Produktion Kantone SH, ZH Production Cantons SH, ZH - kWh",Produktion Kantonsübergreifend Production across Cantons - kWh,Produktion Regelzone CH - Ausländische Gebiete Production control area CH - foreign territories - kWh
2026-01-01 00:00:00,1035916.6150000001,1587766.1202069998,505796.011,7748.54,2725.7729999999997,97152.48400000001,7768.78,195.625,6280.342,8993.9746,67083.252,2701.5170000000003,145791.54899999997,495.2714,17352.51,48039.115000000005,5683.503,9350.685,20366.862,19881.532000000003,59820.252,2689.0370000000003
2026-01-01 00:15:00,1041729.3059999999,1583967.786207,505988.4829999998,7718.014,2561.057,106048.50799999999,7752.896,283.89799999999997,5769.456,9009.798999999999,69903.40699999999,2678.4400000000005,147984.73900000006,488.17600000000004,17211.354,41580.26699999997,5597.133,9273.502,20350.982000000004,19872.380000000005,58947.632,2709.1830000000004
2026-01-01 00:30:00,1033602.191,1568106.786207,505982.056,7631.837000000001,2636.547,109423.36899999996,8069.771000000001,322.293,5749.174,9018.2188,68450.599,2680.163,134195.84899999996,488.5742000000001,16226.856,45684.325000000026,5330.437,9182.137,20183.224,19842.117999999995,59857.262,2647.381
2026-01-01 00:45:00,1018937.775,1571485.453207,505951.54399999994,7594.9310000000005,4326.271,105130.753,10225.489,315.516,5745.457000000001,12022.805399999997,66579.39100000002,2857.345000000001,124679.459,1529.2506,15510.227,44107.302,5113.7480000000005,5666.683,19773.072,19950.159,59304.905,2553.467
2026-01-01 01:00:00,1031541.1089999999,1626959.1202069998,505565.906,8139.9760000000015,3700.366,118442.23199999993,11490.055000000002,323.933,5717.839,12943.620799999997,58867.87699999999,2851.623000000002,120802.05899999996,1954.6242,15436.445,50428.15499999997,5596.819,5367.857000000001,21171.019,19858.637000000006,60303.634,2578.432
2026-01-01 01:15:00,1013775.887,1618833.453207,505664.1689999998,9203.608,3104.5519999999997,118205.18199999996,10772.882,315.152,5715.224,12371.986600000002,56010.00299999999,2844.307,106977.51399999998,1823.1474,15710.973000000002,49539.99599999998,5454.487,5602.762000000001,20974.556000000004,20433.370000000006,60403.837,2648.179
2026-01-01 01:30:00,1015415.4319999999,1617565.1202069998,505577.26399999997,8658.724999999999,3542.6730000000002,114354.36499999996,10150.595000000001,321.70599999999996,5722.858,8739.1184,54451.26899999999,2635.0380000000005,122134.38699999999,507.1526,15866.065999999999,47906.30999999995,5225.267,5200.812,20951.532000000003,20476.273,60365.932,2628.089
2026-01-01 01:45:00,996845.0109999999,1601398.453207,505527.01999999967,8020.128000000001,3597.8700000000003,108548.45500000003,8556.794,315.62399999999997,5711.400000000001,9368.9756,52138.11299999999,2697.725,109392.64999999997,585.9524000000001,16330.273000000001,49944.033,5079.380000000001,5040.275,22428.627,19818.989999999998,60999.727,2742.9990000000003
2026-01-01 02:00:00,1023275.8550000001,1637511.453207,505584.31799999997,8006.161,3615.571000000001,122835.22299999997,9490.523999999998,313.849,5713.501000000001,9254.3132,51868.375,2664.1870000000004,115442.88500000002,489.9768,17014.264,54013.68700000001,4921.014,5344.868,21413.517,20144.880000000005,62327.732,2817.009
2026-01-01 02:15:00,1003406.2010000001,1631039.120186,505618.0779999999,8164.108,3531.463,121953.94599999995,8434.242000000002,311.606,5672.448000000001,8653.8696,50341.753,2652.418,103594.51699999999,486.38039999999995,17395.411,50994.35099999999,4735.923000000001,5115.156,21268.866,19663.674,62019.52,2798.471
2026-01-01 02:30:00,991426.071,1617713.786207,505564.07399999985,8071.027999999999,3371.7340000000004,117825.98399999997,7872.302000000001,314.93,5660.195,9427.2324,48226.254,2686.560000000001,95346.55099999999,791.3236,17615.275999999998,50856.35999999999,4647.634,7622.874,21262.351,19536.111000000004,61885.148,2842.149
2026-01-01 02:45:00,976920.17,1599070.453207,505657.68399999983,7906.173,3271.098,114539.70899999999,7607.484,310.38599999999997,5617.677,8606.4848,45417.87499999999,3285.157999999999,88112.36199999996,487.7962000000001,17299.703,49412.04299999998,4634.875,9067.864999999998,21300.756,19485.593,62152.79,2746.658
2026-01-01 03:00:00,993980.2440000002,1569587.1202069998,505581.2309999998,6764.266,3247.2870000000003,118715.02499999997,7750.798000000001,278.586,5592.135,9107.5372,35469.03499999999,3001.5620000000017,110118.15899999997,610.6448,16939.064,51231.10800000001,5202.593,9486.413,20927.749000000003,19528.007999999998,61540.003,2889.04
