DateTime,storage_original_gwh,storage_benchmarked_gwh,date,hour,month,variable,indicator_source,indicator_type,target_source,target_type,kind
2025-01-01 00:00:00,0.5875,0.8019815601998009,2025-01-01,0,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 01:00:00,0.64393,0.8871510482906403,2025-01-01,1,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 02:00:00,0.47965,0.6842865200980037,2025-01-01,2,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 03:00:00,0.50055,0.7142399393695036,2025-01-01,3,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 04:00:00,0.44268,0.6421021642146012,2025-01-01,4,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 05:00:00,0.43603,0.634448654555173,2025-01-01,5,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 06:00:00,0.43045,0.6277463691266706,2025-01-01,6,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 07:00:00,0.49740000000000006,0.7133199103891392,2025-01-01,7,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 08:00:00,0.57815,0.816385987239187,2025-01-01,8,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 09:00:00,0.32751,0.4968459385984358,2025-01-01,9,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 10:00:00,0.24745999999999996,0.39479633877056575,2025-01-01,10,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 11:00:00,0.26123,0.4123590510547124,2025-01-01,11,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 12:00:00,0.25590999999999997,0.40556552057402834,2025-01-01,12,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 13:00:00,0.29811,0.45934475809118214,2025-01-01,13,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 14:00:00,0.40903,0.6007138917858607,2025-01-01,14,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 15:00:00,0.6807300000000001,0.9470259366317231,2025-01-01,15,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 16:00:00,0.96258,1.306147925455304,2025-01-01,16,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 17:00:00,1.04838,1.4150237746397394,2025-01-01,17,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 18:00:00,0.97043,1.3145754101395686,2025-01-01,18,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 19:00:00,0.7139800000000001,0.9854678069686449,2025-01-01,19,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 20:00:00,0.53401,0.7517696407067072,2025-01-01,20,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
2025-01-01 21:00:00,0.54618,0.7588485772647827,2025-01-01,21,1,Storage,ENTSO-E,"Hydro Water Reservoir, Hydro Pumped Storage",SFOE,Speicherkraft,atomic
