DateTime,river_high_frequency_original_gwh,river_benchmarked_gwh,date,hour,month,source_profile,daily_target_source,variable,target_columns,indicator_columns,kind
2016-01-01 00:00:00,0.0315,0.7799474226225948,2016-01-01,0,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 01:00:00,0.0316,0.778693600568655,2016-01-01,1,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 02:00:00,0.0313,0.7692327025797155,2016-01-01,2,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 03:00:00,0.0312,0.7657642484996554,2016-01-01,3,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 04:00:00,0.0313,0.7678160092110018,2016-01-01,4,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 05:00:00,0.031,0.7600078920761913,2016-01-01,5,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 06:00:00,0.0308,0.7548418115210551,2016-01-01,6,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 07:00:00,0.030699999999999998,0.7522587231131379,2016-01-01,7,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 08:00:00,0.0308,0.7547530764161513,2016-01-01,8,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 09:00:00,0.030699999999999998,0.7522140667785921,2016-01-01,9,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 10:00:00,0.0308,0.7547301706846907,2016-01-01,10,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 11:00:00,0.030600000000000002,0.7496774629393732,2016-01-01,11,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 12:00:00,0.0308,0.7547215564308868,2016-01-01,12,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 13:00:00,0.030699999999999998,0.7521925311440822,2016-01-01,13,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 14:00:00,0.0308,0.7547078515836806,2016-01-01,14,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 15:00:00,0.0308,0.7546911925115843,2016-01-01,15,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 16:00:00,0.0308,0.7546582202368586,2016-01-01,16,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 17:00:00,0.030899999999999997,0.7571164444672536,2016-01-01,17,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 18:00:00,0.031,0.7595089835502972,2016-01-01,18,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 19:00:00,0.0308,0.7541981215696152,2016-01-01,19,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 20:00:00,0.0308,0.7536724026055455,2016-01-01,20,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 21:00:00,0.030899999999999997,0.7551449713309399,2016-01-01,21,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 22:00:00,0.031100000000000003,0.7580901141859396,2016-01-01,22,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-01 23:00:00,0.031,0.7513604233724779,2016-01-01,23,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 00:00:00,0.0314,0.7530450181672865,2016-01-02,0,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 01:00:00,0.0312,0.7437913296999061,2016-01-02,1,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 02:00:00,0.0315,0.7492604638780048,2016-01-02,2,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 03:00:00,0.0318,0.7557810147973962,2016-01-02,3,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 04:00:00,0.0315,0.7476832890794268,2016-01-02,4,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 05:00:00,0.030600000000000002,0.7247044176327819,2016-01-02,5,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 06:00:00,0.0303,0.7170008961785069,2016-01-02,6,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 07:00:00,0.030699999999999998,0.7270309536022473,2016-01-02,7,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 08:00:00,0.0304,0.7194256850940621,2016-01-02,8,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 09:00:00,0.030199999999999998,0.714360416928434,2016-01-02,9,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 10:00:00,0.030600000000000002,0.7244464900932284,2016-01-02,10,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 11:00:00,0.030600000000000002,0.7244389910294836,2016-01-02,11,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 12:00:00,0.0308,0.7294781452760069,2016-01-02,12,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 13:00:00,0.030699999999999998,0.7269395548853802,2016-01-02,13,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 14:00:00,0.030899999999999997,0.7319598976555265,2016-01-02,14,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 15:00:00,0.030899999999999997,0.7319053699008394,2016-01-02,15,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 16:00:00,0.0316,0.7494646703499946,2016-01-02,16,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
2016-01-02 17:00:00,0.032299999999999995,0.7669154928538805,2016-01-02,17,1,ENTSO-E,SFOE,River,Flusskraft,Hydro Run-of-river and poundage,atomic
