DateTime,Water_ENTSOE,Water_Benchmarked,Nuclear_ENTSOE,Nuclear_Benchmarked,Solar_ENTSOE,Solar_Benchmarked,Wind_ENTSOE,Wind_Benchmarked,Thermische,Source_Hourly,Hourly_Columns,Source_Daily,Daily_Columns,Variable,Sum_ENTSOE,Sum_Benchmarked
2024-01-01 00:00:00,0.5647800000000001,1.5814022265880503,3.0215,2.984740823558094,0.0,0.03256169751874685,0.038090000000000006,0.04322503440915871,0.420833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3.6243700000000003,5.06276311507405
2024-01-01 01:00:00,0.55143,1.7582832225107805,3.0213,2.976032533829312,0.0,0.04070212149559147,0.03519,0.040684996643927565,0.420833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3.60792,5.236536207479612
2024-01-01 02:00:00,0.55079,1.855254991369634,3.0197,2.9701797419470197,0.0,0.04477233267832949,0.04412,0.050566883981113565,0.420833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3.61461,5.3416072829760965
2024-01-01 03:00:00,0.58408,1.9512530241029897,3.0201,2.9684522637050557,0.0,0.04680743665833,0.041159999999999995,0.04753066910159484,0.420833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3.64534,5.43487672656797
2024-01-01 04:00:00,0.54216,1.9164627922897486,3.0188,2.9660898776570965,0.0,0.0478249854255932,0.04275,0.049310861209211486,0.420833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3.60371,5.40052184958165
2024-01-01 05:00:00,0.52393,1.9029269625749696,3.0176,2.964359180957901,0.0,0.04833375336375075,0.04535,0.05214018508824035,0.420833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3.58688,5.388593414984862
2024-01-01 06:00:00,0.55451,1.9522732690722022,3.0175,2.963993382109296,0.0,0.04858812444188144,0.04437,0.05110529419433423,0.420833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3.61638,5.436793402817714
2024-01-01 07:00:00,0.5365599999999999,1.9299576328525592,3.0175,2.9638604385564467,0.033550131329349635,0.08127773334040853,0.04205,0.04862175889733842,0.420833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3.6296601313293495,5.444550896646754
2024-01-01 08:00:00,0.59193,2.009760479610019,3.0151999999999997,2.9614960432457935,0.22643406719541653,0.26854688807041943,0.03903,0.045381668131259434,0.420833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,3.872594067195416,5.7060184120574915
2024-01-01 09:00:00,0.54619,1.9458672522424771,3.0176999999999996,2.963960557287159,0.5460283019094478,0.5787642503598567,0.034,0.03997984946666937,0.420833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,4.143918301909447,5.949405242356162
2024-01-01 10:00:00,0.53786,1.9344772049621723,3.0158,2.9620456632653718,0.9038543541403525,0.9260718870663169,0.02981,0.03547936055190436,0.420833333,ENTSO-E,Solar,SFOE,Photovoltaik,Solar,4.487324354140353,6.278907448845765
