DateTime,nuclear_high_frequency_original_gwh,nuclear_kalman_filtered_gwh,nuclear_benchmarked_gwh
2024-01-01 00:00:00,3.0215,3.0215,2.9695302343318866
2024-01-01 01:00:00,3.0213,3.021393211752786,2.9694252828413115
2024-01-01 02:00:00,3.0197,3.020649140991055,2.9686940100882278
2024-01-01 03:00:00,3.0201,3.020425042546486,2.9684737661343585
2024-01-01 04:00:00,3.0188,3.0197800695036223,2.967839886620504
2024-01-01 05:00:00,3.0176,3.018923744411471,2.9669982903102077
2024-01-01 06:00:00,3.0175,3.0183666586801365,2.966450786447122
2024-01-01 07:00:00,3.0175,3.018028037605294,2.9661179896509196
2024-01-01 08:00:00,3.0151999999999997,3.016923656209952,2.9650326036030283
2024-01-01 09:00:00,3.0176999999999996,3.0172267672560773,2.9653305011426045
2024-01-01 10:00:00,3.0158,3.016669749844912,2.9647830644245823
2024-01-01 11:00:00,3.0148,3.0159398097255554,2.9640656792669846
2024-01-01 12:00:00,3.014,3.0151825263285006,2.9633214211357544
2024-01-01 13:00:00,3.0139,3.0146818420582258,2.9628293486292394
2024-01-01 14:00:00,3.014,3.0144156587407043,2.962567743661755
2024-01-01 15:00:00,3.0136,3.014097235092005,2.962254796896195
2024-01-01 16:00:00,3.0139,3.014020236829978,2.9621791230034002
2024-01-01 17:00:00,3.0179,3.0155348506674726,2.9636676855000994
2024-01-01 18:00:00,3.0191,3.0169266429316397,2.965035538953137
2024-01-01 19:00:00,3.0214000000000003,3.0186729887701413,2.9667518476630597
2024-01-01 20:00:00,3.0224,3.0201279699906705,2.968181803223128
2024-01-01 21:00:00,3.0254000000000003,3.0221861083149175,2.9702045415915834
2024-01-01 22:00:00,3.0336,3.0266419569827505,2.9745837497129597
2024-01-01 23:00:00,3.0295,3.0277577032610545,2.9756803051679546
2024-01-02 00:00:00,3.0236,3.0261345849554555,2.9711552239351873
2024-01-02 01:00:00,3.0234,3.025067035248175,2.970107069664268
2024-01-02 02:00:00,3.0234,3.0244162443529614,2.9694681024558647
2024-01-02 03:00:00,3.0239000000000003,3.024214708647595,2.969270228287681
2024-01-02 04:00:00,3.0181999999999998,3.0218666373458736,2.966964817170487
2024-01-02 05:00:00,3.0175,3.020161953638382,2.9652911044652255
2024-01-02 06:00:00,3.0159000000000002,3.0184981372153628,2.9636575165602133
2024-01-02 07:00:00,3.0101999999999998,3.0152586423379315,2.960476877412225
2024-01-02 08:00:00,3.0083,3.0125420704588994,2.957809660702926
2024-01-02 09:00:00,3.0108,3.011861986702598,2.9571419328314374
2024-01-02 10:00:00,3.01,3.011135089059384,2.9564282415962104
2024-01-02 11:00:00,3.0099,3.0106529248606964,2.95595483744398
2024-01-02 12:00:00,3.008,3.009617254291099,2.9549379831247986
2024-01-02 13:00:00,3.0068,3.008517431450433,2.953858142064625
2024-01-02 14:00:00,3.0061,3.007573694730134,2.9529315513239234
2024-01-02 15:00:00,3.007,3.0073497310752506,2.9527116566812706
2024-01-02 16:00:00,3.006,3.0068228119859772,2.9521943107534097
2024-01-02 17:00:00,3.0079000000000002,3.0072433334792827,2.9526071921360897
2024-01-02 18:00:00,3.009,3.007929115365931,2.9532805146132604
