DateTime,nuclear_high_frequency_original_gwh,kalman_filtered,hourly_reconciled
2026-01-01 00:00:00,1.96492,1.96492,1.9608932223783628
2026-01-01 01:00:00,1.96492,1.96492,1.9608932223783628
2026-01-01 02:00:00,1.96485,1.9648892389606702,1.960862524378681
2026-01-01 03:00:00,1.96425,1.9646283725181217,1.960602192538637
2026-01-01 04:00:00,1.96285,1.9639225434080851,1.9598978099082867
2026-01-01 05:00:00,1.96258,1.963395196180974,1.959371543391847
2026-01-01 06:00:00,1.9629,1.9632014347695792,1.959178179062326
2026-01-01 07:00:00,1.9636500000000001,1.9633766982775132,1.9593530833967712
2026-01-01 08:00:00,1.9640499999999999,1.9636396303878834,1.9596154766713934
2026-01-01 09:00:00,1.96378,1.963694435463313,1.9596701694329113
2026-01-01 10:00:00,1.9646199999999998,1.9640557807071821,1.960030774159639
2026-01-01 11:00:00,1.9634800000000001,1.9638309990663292,1.9598064531714747
2026-01-01 12:00:00,1.95845,1.9617303078496524,1.9577100669730079
2026-01-01 13:00:00,1.9618499999999999,1.9617770343578127,1.9577566977229401
2026-01-01 14:00:00,1.9614200000000002,1.9616376522403778,1.957617601246036
2026-01-01 15:00:00,1.96015,1.9610568901756356,1.9570380293568153
2026-01-01 16:00:00,1.9593,1.9603710208979082,1.9563535656544084
2026-01-01 17:00:00,1.9594500000000001,1.9600114651891032,1.9559947467953898
2026-01-01 18:00:00,1.96022,1.9600928747205266,1.9560759894914816
2026-01-01 19:00:00,1.9600499999999998,1.9600761369353186,1.9560592860075883
2026-01-01 20:00:00,1.9600199999999999,1.9600542217379582,1.9560374157217897
2026-01-01 21:00:00,1.96025,1.960130651261965,1.9561136886161643
2026-01-01 22:00:00,1.9611800000000001,1.960540304630463,1.9565225024680322
2026-01-01 23:00:00,1.9606,1.9605636089985186,1.956545759077651
2026-01-02 00:00:00,1.96168,1.9609994348756763,1.9544936484776558
2026-01-02 01:00:00,1.96175,1.9612924466459518,1.9547856881558667
2026-01-02 02:00:00,1.9613800000000001,1.9613266264425233,1.9548197545579866
2026-01-02 03:00:00,1.96112,1.9612459619168925,1.954739357643944
2026-01-02 04:00:00,1.96018,1.9608298229594745,1.9543245992637566
2026-01-02 05:00:00,1.95912,1.9601623282465312,1.953659319022652
2026-01-02 06:00:00,1.9581199999999999,1.9593650273920187,1.952864663283157
