,true_hourly_gwh,indicator_hourly_gwh,kalman_filtered,hourly_reconciled
2026-01-01 00:00:00,5.163484409867663,3.8696828996266115,3.8696828996266115,4.957556291344348
2026-01-01 01:00:00,5.096001589375951,3.9579139799477816,3.916793111712991,5.0179104687726666
2026-01-01 02:00:00,5.208057821472866,3.7458939903046415,3.8416926174976225,4.921697177596691
2026-01-01 03:00:00,5.044056471639121,3.670295903708136,3.7717474893973346,4.83208856654075
2026-01-01 04:00:00,4.504896481134615,3.8970837354500936,3.8214929561683686,4.895818840610596
2026-01-01 05:00:00,4.319782049313768,3.1376939338354135,3.5528986476662587,4.551715347256553
2026-01-01 06:00:00,4.279771338424509,3.1408002398492822,3.391651909100829,4.345137753182646
2026-01-01 07:00:00,4.168375740765642,3.5819775128950373,3.4660159719135213,4.440407582005717
2026-01-01 08:00:00,4.265307182357351,3.8498516927020074,3.6159082605142627,4.632438680587026
2026-01-01 09:00:00,4.364695607242642,3.1935805804607,3.4510171561482585,4.421192190101908
2026-01-01 10:00:00,4.787939797486282,3.668308229817455,3.5358487296294903,4.5298722322978975
2026-01-01 11:00:00,5.027779193542894,3.9831477701327493,3.71047183009478,4.7535866483833304
2026-01-01 12:00:00,5.139615771648342,4.320065877878713,3.9484515892683354,5.058469007714973
2026-01-01 13:00:00,5.312724120696804,3.966290540026425,3.955415720798662,5.0673909465346245
2026-01-01 14:00:00,5.179763636117424,3.996065623902011,3.9712849766394283,5.087721482956597
2026-01-01 15:00:00,4.864070753711676,3.9338959515862215,3.9566887378147624,5.0690218433499075
2026-01-01 16:00:00,4.73687507840825,3.7730204545624266,3.884986798488851,4.977162533523497
2026-01-01 17:00:00,4.3541117399171005,3.3284990643139207,3.667740542560187,4.69884243061427
2026-01-01 18:00:00,4.3548323282385075,3.372681082413149,3.552552808247005,4.551272282945293
2026-01-01 19:00:00,4.1950074089013745,3.024624533436475,3.346455836408223,4.287235831931449
2026-01-01 20:00:00,4.248501061753254,3.270959554252099,3.316982978404231,4.2494773497995695
2026-01-01 21:00:00,4.381907045559606,3.369937747334881,3.3376558955148985,4.2759619876732105
2026-01-01 22:00:00,4.8222541338674025,3.8031488045493003,3.5193788359312297,4.5087722023369246
2026-01-01 23:00:00,4.934547051793119,3.7489878010112103,3.6090154672580077,4.6236081351757266
2026-01-02 00:00:00,5.090179919675909,4.0552172714053345,3.78320738785195,4.815970145235953
2026-01-02 01:00:00,5.164786644951177,4.210822430269487,3.9501432559261622,5.028477172843268
2026-01-02 02:00:00,5.186243620447555,4.073247302929417,3.9982016236429603,5.089654803468558
2026-01-02 03:00:00,4.9865444064364075,3.9528207905322543,3.9804854817450144,5.06710240236487
2026-01-02 04:00:00,4.7412732611595985,3.707761106268503,3.8740171028332098,4.931569643601135
2026-01-02 05:00:00,4.493082100300788,3.5046192289910696,3.729808530597218,4.747994146046937
2026-01-02 06:00:00,4.4811520581948265,3.3654181593542525,3.5875548283034755,4.566907170615507
2026-01-02 07:00:00,4.159358498361539,3.301268595823196,3.475792060403965,4.424634728644362
2026-01-02 08:00:00,4.215763025200626,3.2707835719420606,3.3957591649521204,4.322753970964905
2026-01-02 09:00:00,4.368622727175213,3.784296022804173,3.5474393707668157,4.51584075367009
2026-01-02 10:00:00,4.7615979422575485,3.997250277406432,3.7230402423906117,4.73937820972739
2026-01-02 11:00:00,5.062897229272089,4.0185122182924,3.8383890161595167,4.886215587066103
2026-01-02 12:00:00,5.121617956126732,3.857511708033793,3.845854289480705,4.895718775698139
2026-01-02 13:00:00,5.115984352303747,3.7902337298399074,3.8241406791414327,4.868077653121828
2026-01-02 14:00:00,5.050564580323096,4.153846104208011,3.952853787619194,5.031927641816573
2026-01-02 15:00:00,5.01505927878247,3.959041097976812,3.955269240592359,5.035002479702366
2026-01-02 16:00:00,4.774325417120345,3.8103996379643585,3.898713856723796,4.963008266237372
2026-01-02 17:00:00,4.504315426830519,3.1993405552724505,3.625686770202609,4.615448599868311
2026-01-02 18:00:00,4.200436327378911,3.4432792620360235,3.554477030838864,4.524799596610642
2026-01-02 19:00:00,4.223216132306672,3.3759042440777898,3.484764321474397,4.436056291625342
2026-01-02 20:00:00,4.278655879021853,3.1374740624424393,3.3491863012612817,4.263467366208993
2026-01-02 21:00:00,4.4718688596729015,3.4031832452038726,3.37026607118544,4.290301618792971
2026-01-02 22:00:00,4.787142877794818,3.781440541464132,3.5307837338401584,4.494638360577329
2026-01-02 23:00:00,4.9723595548774675,3.8878844765085487,3.670191651132645,4.672102691463864
2026-01-03 00:00:00,5.030263042048031,3.8710143593528246,3.748590467356922,4.78905977761183
2026-01-03 01:00:00,5.03075790694889,3.9053632791682613,3.809792723670909,4.86724950427436
2026-01-03 02:00:00,4.9912836256098405,3.8478452998984363,3.8246480005315884,4.886228053549957
2026-01-03 03:00:00,4.857128822583854,3.8160217337938507,3.8212804077595,4.881925742259187
2026-01-03 04:00:00,4.418284418014434,3.7111304011900264,3.778279144612132,4.82698892760342
2026-01-03 05:00:00,4.30203287836427,2.893587125756497,3.432905816983747,4.385752808051723
2026-01-03 06:00:00,4.118591048829878,3.1698679704755617,3.3302189447112385,4.254563878780456
2026-01-03 07:00:00,4.040112215175666,3.18305976368406,3.27276973644533,4.181168906734897
2026-01-03 08:00:00,4.13811408913649,3.2810079076701406,3.2759858213074557,4.185277657154212
2026-01-03 09:00:00,4.4834941311234395,3.430180797638451,3.33618172106012,4.262181700098626
2026-01-03 10:00:00,4.4774168884306755,3.176175252129782,3.2737170831536755,4.182379201659322
2026-01-03 11:00:00,4.890827835459148,3.873884898726675,3.5080155182950126,4.481710169249369
2026-01-03 12:00:00,4.794084708579262,4.050309111241377,3.719720539653413,4.752176631599638
2026-01-03 13:00:00,4.990511497001424,3.616503914776206,3.6794259869270043,4.700697809519891
2026-01-03 14:00:00,4.978646992251343,4.0388336964217215,3.819734516853668,4.879950769526858
2026-01-03 15:00:00,4.8526222331359286,3.7259108016839035,3.7831068452707877,4.833156618431226
2026-01-03 16:00:00,4.635122657979285,3.6043572909746504,3.7133251279459234,4.744006091436257
2026-01-03 17:00:00,4.413334723519992,3.252879352418883,3.533572528965875,4.514360855662207
