DateTime,river_gwh,river_benchmarked_gwh,date,hour,month,variable,indicator_source,target_source,kind
2024-01-01 00:00:00,0.22135,1.4737778594100663,2024-01-01,0,1,River,ENTSO-E,SFOE,atomic
2024-01-01 01:00:00,0.21788,1.4506741360210762,2024-01-01,1,1,River,ENTSO-E,SFOE,atomic
2024-01-01 02:00:00,0.21872999999999998,1.4563335495313476,2024-01-01,2,1,River,ENTSO-E,SFOE,atomic
2024-01-01 03:00:00,0.21765,1.4491427653065325,2024-01-01,3,1,River,ENTSO-E,SFOE,atomic
2024-01-01 04:00:00,0.21755000000000002,1.448476951952383,2024-01-01,4,1,River,ENTSO-E,SFOE,atomic
2024-01-01 05:00:00,0.2181,1.4521389254002053,2024-01-01,5,1,River,ENTSO-E,SFOE,atomic
2024-01-01 06:00:00,0.21813,1.4523386694064504,2024-01-01,6,1,River,ENTSO-E,SFOE,atomic
2024-01-01 07:00:00,0.21708000000000002,1.4453476291878797,2024-01-01,7,1,River,ENTSO-E,SFOE,atomic
2024-01-01 08:00:00,0.21835,1.4538034587855793,2024-01-01,8,1,River,ENTSO-E,SFOE,atomic
2024-01-01 09:00:00,0.21847999999999998,1.4546690161459737,2024-01-01,9,1,River,ENTSO-E,SFOE,atomic
2024-01-01 10:00:00,0.2174,1.4474782319211585,2024-01-01,10,1,River,ENTSO-E,SFOE,atomic
2024-01-01 11:00:00,0.21643,1.4410198423859077,2024-01-01,11,1,River,ENTSO-E,SFOE,atomic
2024-01-01 12:00:00,0.2209,1.4707816993163936,2024-01-01,12,1,River,ENTSO-E,SFOE,atomic
2024-01-01 13:00:00,0.21658000000000002,1.4420185624171322,2024-01-01,13,1,River,ENTSO-E,SFOE,atomic
2024-01-01 14:00:00,0.21518,1.432697175459038,2024-01-01,14,1,River,ENTSO-E,SFOE,atomic
2024-01-01 15:00:00,0.21728,1.446679255896179,2024-01-01,15,1,River,ENTSO-E,SFOE,atomic
2024-01-01 16:00:00,0.21913,1.4589968029479459,2024-01-01,16,1,River,ENTSO-E,SFOE,atomic
2024-01-01 17:00:00,0.2184,1.4541363654626542,2024-01-01,17,1,River,ENTSO-E,SFOE,atomic
2024-01-01 18:00:00,0.21743,1.4476779759274037,2024-01-01,18,1,River,ENTSO-E,SFOE,atomic
2024-01-01 19:00:00,0.22044999999999998,1.4677855392227201,2024-01-01,19,1,River,ENTSO-E,SFOE,atomic
2024-01-01 20:00:00,0.21705000000000002,1.445147885181635,2024-01-01,20,1,River,ENTSO-E,SFOE,atomic
2024-01-01 21:00:00,0.21888,1.457332269562572,2024-01-01,21,1,River,ENTSO-E,SFOE,atomic
2024-01-01 22:00:00,0.21828,1.4533373894376747,2024-01-01,22,1,River,ENTSO-E,SFOE,atomic
2024-01-01 23:00:00,0.21,1.3982080437140905,2024-01-01,23,1,River,ENTSO-E,SFOE,atomic
2024-01-02 00:00:00,0.20937999999999998,1.3235802058506267,2024-01-02,0,1,River,ENTSO-E,SFOE,atomic
2024-01-02 01:00:00,0.21148,1.3368552007512209,2024-01-02,1,1,River,ENTSO-E,SFOE,atomic
2024-01-02 02:00:00,0.208,1.314856637773094,2024-01-02,2,1,River,ENTSO-E,SFOE,atomic
2024-01-02 03:00:00,0.21218,1.3412801990514187,2024-01-02,3,1,River,ENTSO-E,SFOE,atomic
2024-01-02 04:00:00,0.2119,1.3395101997313394,2024-01-02,4,1,River,ENTSO-E,SFOE,atomic
2024-01-02 05:00:00,0.2144,1.3553137650891893,2024-01-02,5,1,River,ENTSO-E,SFOE,atomic
2024-01-02 06:00:00,0.21280000000000002,1.3451994832601655,2024-01-02,6,1,River,ENTSO-E,SFOE,atomic
2024-01-02 07:00:00,0.26038,1.6459729391507607,2024-01-02,7,1,River,ENTSO-E,SFOE,atomic
2024-01-02 08:00:00,0.26788,1.6933836352243097,2024-01-02,8,1,River,ENTSO-E,SFOE,atomic
2024-01-02 09:00:00,0.24253,1.5331354824957137,2024-01-02,9,1,River,ENTSO-E,SFOE,atomic
2024-01-02 10:00:00,0.21585,1.3644798329967418,2024-01-02,10,1,River,ENTSO-E,SFOE,atomic
2024-01-02 11:00:00,0.21522999999999998,1.360560548787995,2024-01-02,11,1,River,ENTSO-E,SFOE,atomic
2024-01-02 12:00:00,0.21563,1.3630891192452512,2024-01-02,12,1,River,ENTSO-E,SFOE,atomic
2024-01-02 13:00:00,0.21780000000000002,1.3768066139758648,2024-01-02,13,1,River,ENTSO-E,SFOE,atomic
2024-01-02 14:00:00,0.22047999999999998,1.3937480360394794,2024-01-02,14,1,River,ENTSO-E,SFOE,atomic
2024-01-02 15:00:00,0.24919999999999998,1.5752993948704566,2024-01-02,15,1,River,ENTSO-E,SFOE,atomic
2024-01-02 16:00:00,0.26493,1.674735428102047,2024-01-02,16,1,River,ENTSO-E,SFOE,atomic
2024-01-02 17:00:00,0.25178,1.5916086743197577,2024-01-02,17,1,River,ENTSO-E,SFOE,atomic
2024-01-02 18:00:00,0.23905,1.5111369195175874,2024-01-02,18,1,River,ENTSO-E,SFOE,atomic
2024-01-02 19:00:00,0.22155000000000002,1.4005119620126394,2024-01-02,19,1,River,ENTSO-E,SFOE,atomic
2024-01-02 20:00:00,0.22028,1.3924837508108516,2024-01-02,20,1,River,ENTSO-E,SFOE,atomic
2024-01-02 21:00:00,0.21965,1.3885012523406737,2024-01-02,21,1,River,ENTSO-E,SFOE,atomic
2024-01-02 22:00:00,0.22165,1.4011441046269533,2024-01-02,22,1,River,ENTSO-E,SFOE,atomic
2024-01-02 23:00:00,0.21780000000000002,1.3768066139758648,2024-01-02,23,1,River,ENTSO-E,SFOE,atomic
