DateTime,river_gwh,river_benchmarked_gwh,date,hour,month,variable,indicator_source,indicator_type,target_source,target_type,kind
2024-01-01 00:00:00,0.22135,1.0884672390651073,2024-01-01,0,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 01:00:00,0.21788,1.284733439663177,2024-01-01,1,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 02:00:00,0.21872999999999998,1.3862006994020308,2024-01-01,2,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 03:00:00,0.21765,1.4349931544185142,2024-01-01,3,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 04:00:00,0.21755000000000002,1.4599568829141112,2024-01-01,4,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 05:00:00,0.2181,1.4732126018339806,2024-01-01,5,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 06:00:00,0.21813,1.479524392594077,2024-01-01,6,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 07:00:00,0.21708000000000002,1.4813065087922392,2024-01-01,7,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 08:00:00,0.21835,1.4845125198234868,2024-01-01,8,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 09:00:00,0.21847999999999998,1.485463651902331,2024-01-01,9,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 10:00:00,0.2174,1.4844613464758494,2024-01-01,10,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 11:00:00,0.21643,1.483403500769769,2024-01-01,11,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 12:00:00,0.2209,1.489261447519807,2024-01-01,12,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 13:00:00,0.21658000000000002,1.4837274088939485,2024-01-01,13,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 14:00:00,0.21518,1.4819240551779003,2024-01-01,14,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 15:00:00,0.21728,1.484600668611423,2024-01-01,15,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 16:00:00,0.21913,1.4869044592945906,2024-01-01,16,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 17:00:00,0.2184,1.4857889851757948,2024-01-01,17,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 18:00:00,0.21743,1.4841854501014997,2024-01-01,18,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 19:00:00,0.22044999999999998,1.48737354914866,2024-01-01,19,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 20:00:00,0.21705000000000002,1.4815727752427459,2024-01-01,20,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 21:00:00,0.21888,1.4811017288959651,2024-01-01,21,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 22:00:00,0.21828,1.4746647507915702,2024-01-01,22,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-01 23:00:00,0.21,1.4526587834914073,2024-01-01,23,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-02 00:00:00,0.20937999999999998,1.4292063771147876,2024-01-02,0,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-02 01:00:00,0.21148,1.4205886230329832,2024-01-02,1,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-02 02:00:00,0.208,1.4104369039205054,2024-01-02,2,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-02 03:00:00,0.21218,1.4129967409123594,2024-01-02,3,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-02 04:00:00,0.2119,1.4112198268954876,2024-01-02,4,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
2024-01-02 05:00:00,0.2144,1.41373651590961,2024-01-02,5,1,River,ENTSO-E,Hydro Run-of-river and poundage,SFOE,Flusskraft,atomic
