DateTime,river_high_frequency_original_gwh,river_kalman_filtered_gwh,river_benchmarked_gwh
2025-01-01 00:00:00,0.9703999999999999,0.9703999999999999,0.9685766521939819
2025-01-01 01:00:00,0.9628,0.9663420466058763,0.9645263235529685
2025-01-01 02:00:00,0.9555,0.9615775805764588,0.9597708097892987
2025-01-01 03:00:00,0.9485,0.956240762685156,0.9544440195929601
2025-01-01 04:00:00,0.9418,0.9505092803492288,0.9487233065127443
2025-01-01 05:00:00,0.9355,0.9446136777747162,0.9428387815701561
2025-01-01 06:00:00,0.9297000000000001,0.9387782223214237,0.9370142907344419
2025-01-01 07:00:00,0.9244,0.9331603600552343,0.9314069842358097
2025-01-01 08:00:00,0.9197000000000001,0.9279039337645169,0.9261604345870385
2025-01-01 09:00:00,0.9156,0.9231000591375447,0.9213655862731964
2025-01-01 10:00:00,0.9122,0.9188446189482062,0.917118141907779
2025-01-01 11:00:00,0.9094,0.9151574913353381,0.9134379422792919
2025-01-01 12:00:00,0.9073,0.9120900009251384,0.9103762155767482
2025-01-01 13:00:00,0.906,0.9097125310818942,0.9080032129165446
2025-01-01 14:00:00,0.9054,0.9080289684203586,0.9063228136106203
2025-01-01 15:00:00,0.9054,0.907002649845016,0.9052984234521394
2025-01-01 16:00:00,0.9063,0.9067283436030097,0.9050246326220092
2025-01-01 17:00:00,0.9076000000000001,0.9070686279921764,0.905364277628659
2025-01-01 18:00:00,0.9097000000000001,0.9080958845985746,0.9063896040556678
2025-01-01 19:00:00,0.9123,0.9097371216658742,0.9080277572956736
2025-01-01 20:00:00,0.9154,0.911947842568533,0.9102343243307442
2025-01-01 21:00:00,0.9191,0.9147399604594976,0.9130211959294267
2025-01-01 22:00:00,0.9232,0.918042660095734,0.9163176899080624
2025-01-01 23:00:00,0.9281,0.9219689269503961,0.9202365794440361
2025-01-02 00:00:00,0.9332999999999999,0.9263924441987689,0.9319342582422768
2025-01-02 01:00:00,0.9389,0.9312752464345387,0.9368462701096357
2025-01-02 02:00:00,0.945,0.9366332283183831,0.9422363042186841
2025-01-02 03:00:00,0.9516,0.9424760794229198,0.9481141081064693
2025-01-02 04:00:00,0.9584,0.9486925901649458,0.9543678069179227
2025-01-02 05:00:00,0.9656,0.9552930435112579,0.9610077451340404
2025-01-02 06:00:00,0.9732000000000001,0.9622837080797189,0.9680402288724671
2025-01-02 07:00:00,0.981,0.9695903276530857,0.975390557704492
2025-01-02 08:00:00,0.9892000000000001,0.9772457124059818,0.9830917380799643
2025-01-02 09:00:00,0.9976,0.9851917861672717,0.9910853464076648
2025-01-02 10:00:00,1.0062,0.9933931450179182,0.9993357669771746
2025-01-02 11:00:00,1.0151000000000001,1.001867245131544,1.0078605603874804
2025-01-02 12:00:00,1.0241,1.0105466503568756,1.016591887074465
2025-01-02 13:00:00,1.0332000000000001,1.0193902508205663,1.0254883912395532
2025-01-02 14:00:00,1.0424,1.028372985458859,1.0345248619000678
2025-01-02 15:00:00,1.0517999999999998,1.037518615571967,1.0437252024997679
2025-01-02 16:00:00,1.0611,1.0467245098678473,1.0529861677913277
2025-01-02 17:00:00,1.0704,1.05596714192047,1.0622840906102222
2025-01-02 18:00:00,1.0796,1.0651931309226703,1.0715652708175516
2025-01-02 19:00:00,1.0887,1.0743699353046785,1.0807969721751527
2025-01-02 20:00:00,1.0976,1.0834386785213561,1.08991996592985
2025-01-02 21:00:00,1.1063,1.092363468736232,1.0988981455349978
2025-01-02 22:00:00,1.1147,1.1010833870420644,1.10767022765761
2025-01-02 23:00:00,1.1229,1.1096003353746708,1.1162381256111606
2025-01-03 00:00:00,1.1307,1.1178373955359222,1.11896932062893
2025-01-03 01:00:00,1.1381,1.1257476772848505,1.1268876123500062
2025-01-03 02:00:00,1.1449,1.1332245181367666,1.1343720242706758
2025-01-03 03:00:00,1.1515,1.1403590506640089,1.1415137812443596
